"User","Count","URLs"
"tdonohue;@duraspace",11,"https://github.com/DSpace/dspace-angular/pull/268;https://github.com/DSpace/dspace-angular/pull/263;https://github.com/DSpace/DSpace/pull/2066;https://github.com/DSpace/DSpace/pull/2052;https://github.com/DSpace/DSpace/pull/2050;https://github.com/DSpace/DSpace/pull/2049;https://github.com/DSpace/DSpace/pull/2047;https://github.com/DSpace/DSpace/pull/2026;https://github.com/DSpace/DSpace/pull/2012;https://github.com/DSpace/DSpace/pull/1856;https://github.com/DSpace/DSpace/pull/1855"
"abollini;",6,"https://github.com/DSpace/DSpace/pull/2061;https://github.com/DSpace/DSpace/pull/2060;https://github.com/DSpace/DSpace/pull/2057;https://github.com/DSpace/DSpace/pull/2053;https://github.com/DSpace/DSpace/pull/2052;https://github.com/DSpace/DSpace/pull/2051"
"kshepherd;",5,"https://github.com/DSpace/orcid-jaxb-api/pull/1;https://github.com/DSpace/DSpace/pull/2038;https://github.com/DSpace/DSpace/pull/2032;https://github.com/DSpace/DSpace/pull/2026;https://github.com/DSpace/DSpace/pull/2001"
"artlowel;@atmire",3,"https://github.com/DSpace/dspace-angular/pull/267;https://github.com/DSpace/dspace-angular/pull/263;https://github.com/DSpace/dspace-angular/pull/243"
"mwoodiupui;Indiana University",2,"https://github.com/DSpace/DSpace/pull/2050;https://github.com/DSpace/DSpace/pull/2049"
"pnbecker;The Library Code",1,"https://github.com/DSpace/DSpace/pull/2038"
"hardyoyo;@UCLALibrary",1,"https://github.com/DSpace/DSpace/pull/2043"
"atarix83;",1,"https://github.com/DSpace/dspace-angular/pull/235"
"ppmdo;",1,"https://github.com/DSpace/DSpace/pull/2061"
"terrywbrady;@Georgetown-University-Libraries",1,"https://github.com/DSpace/DSpace/pull/2032"
