"User","Count","URLs"
"terrywbrady;@Georgetown-University-Libraries",5,"https://github.com/DSpace/DSpace/pull/2220;https://github.com/DSpace/DSpace/pull/2219;https://github.com/DSpace/DSpace/pull/2218;https://github.com/DSpace/DSpace/pull/2217;https://github.com/DSpace/DSpace/pull/2214"
"AlexanderS;",4,"https://github.com/DSpace/DSpace/pull/2205;https://github.com/DSpace/DSpace/pull/2204;https://github.com/DSpace/DSpace/pull/2201;https://github.com/DSpace/DSpace/pull/2198"
"qzhao-ulb;",3,"https://github.com/DSpace/DSpace/pull/2195;https://github.com/DSpace/DSpace/pull/2194;https://github.com/DSpace/DSpace/pull/2193"
"santit96;",3,"https://github.com/DSpace/DSpace/pull/2213;https://github.com/DSpace/DSpace/pull/2200;https://github.com/DSpace/DSpace/pull/2199"
"anis-moubarik;@NatLibFi",2,"https://github.com/DSpace/DSpace/pull/2203;https://github.com/DSpace/DSpace/pull/2202"
"tomdesair;Atmire NV",2,"https://github.com/DSpace/DSpace/pull/2216;https://github.com/DSpace/DSpace/pull/2207"
"Raf-atmire;",2,"https://github.com/DSpace/DSpace/pull/2208;https://github.com/DSpace/DSpace/pull/2206"
"pnbecker;The Library Code",1,"https://github.com/DSpace/DSpace/pull/2196"
"gregorgabriel;BIBSYS",1,"https://github.com/DSpace/DSpace/pull/2212"
"mwoodiupui;Indiana University",1,"https://github.com/DSpace/Rest7Contract/pull/28"
"tdonohue;@duraspace",1,"https://github.com/DSpace/dspace-angular/pull/291"
"PhilipVis;",1,"https://github.com/DSpace/DSpace/pull/2197"
"LotteHofstede;",1,"https://github.com/DSpace/dspace-angular/pull/290"
"AndrewZWood;Atmire",1,"https://github.com/DSpace/DSpace/pull/2209"
"mspalti;",1,"https://github.com/DSpace/DSpace/pull/2215"
