"User","Count","URLs"
"tdonohue;@duraspace",29,"https://github.com/DSpace/dspace-angular/pull/319;https://github.com/DSpace/dspace-angular/pull/314;https://github.com/DSpace/dspace-angular/pull/312;https://github.com/DSpace/dspace-angular/pull/303;https://github.com/DSpace/dspace-angular/pull/279;https://github.com/DSpace/DSpace/pull/2247;https://github.com/DSpace/DSpace/pull/2243;https://github.com/DSpace/DSpace/pull/2242;https://github.com/DSpace/DSpace/pull/2239;https://github.com/DSpace/DSpace/pull/2238;https://github.com/DSpace/DSpace/pull/2236;https://github.com/DSpace/DSpace/pull/2233;https://github.com/DSpace/DSpace/pull/2232;https://github.com/DSpace/DSpace/pull/2228;https://github.com/DSpace/DSpace/pull/2221;https://github.com/DSpace/DSpace/pull/2219;https://github.com/DSpace/DSpace/pull/2218;https://github.com/DSpace/DSpace/pull/2217;https://github.com/DSpace/DSpace/pull/2215;https://github.com/DSpace/DSpace/pull/2214;https://github.com/DSpace/DSpace/pull/2207;https://github.com/DSpace/DSpace/pull/2206;https://github.com/DSpace/DSpace/pull/2187;https://github.com/DSpace/DSpace/pull/2173;https://github.com/DSpace/DSpace/pull/2168;https://github.com/DSpace/DSpace/pull/2129;https://github.com/DSpace/DSpace/pull/2128;https://github.com/DSpace/DSpace/pull/2116;https://github.com/DSpace/DSpace/pull/1810"
"abollini;",9,"https://github.com/DSpace/Rest7Contract/pull/29;https://github.com/DSpace/DSpace/pull/2238;https://github.com/DSpace/DSpace/pull/2232;https://github.com/DSpace/DSpace/pull/2228;https://github.com/DSpace/DSpace/pull/2215;https://github.com/DSpace/DSpace/pull/2189;https://github.com/DSpace/DSpace/pull/2173;https://github.com/DSpace/DSpace/pull/2129;https://github.com/DSpace/DSpace/pull/2128"
"mwoodiupui;Indiana University",7,"https://github.com/DSpace/DSpace/pull/2249;https://github.com/DSpace/DSpace/pull/2245;https://github.com/DSpace/DSpace/pull/2244;https://github.com/DSpace/DSpace/pull/2236;https://github.com/DSpace/DSpace/pull/2235;https://github.com/DSpace/DSpace/pull/2229;https://github.com/DSpace/DSpace/pull/1810"
"artlowel;@atmire",6,"https://github.com/DSpace/dspace-angular/pull/308;https://github.com/DSpace/dspace-angular/pull/307;https://github.com/DSpace/dspace-angular/pull/300;https://github.com/DSpace/dspace-angular/pull/297;https://github.com/DSpace/dspace-angular/pull/296;https://github.com/DSpace/dspace-angular/pull/279"
"terrywbrady;@Georgetown-University-Libraries",5,"https://github.com/DSpace/DSpace/pull/2249;https://github.com/DSpace/DSpace/pull/2247;https://github.com/DSpace/DSpace/pull/2229;https://github.com/DSpace/DSpace/pull/2181;https://github.com/DSpace/DSpace/pull/2180"
"pnbecker;The Library Code",4,"https://github.com/DSpace/DSpace/pull/2219;https://github.com/DSpace/DSpace/pull/2218;https://github.com/DSpace/DSpace/pull/2217;https://github.com/DSpace/DSpace/pull/2214"
"benbosman;",3,"https://github.com/DSpace/DSpace/pull/2239;https://github.com/DSpace/DSpace/pull/2206;https://github.com/DSpace/DSpace/pull/2187"
"bram-atmire;Atmire",1,"https://github.com/DSpace/dspace-angular/pull/297"
"helix84;",1,"https://github.com/DSpace/dspace-angular/pull/296"
"tomdesair;Atmire NV",1,"https://github.com/DSpace/DSpace/pull/2206"
